"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"100-500","I don't know","I am not sure","No","I don't know","I don't know","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","Yes, always","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Never"
"26-100","No","No Entry","No","No","I don't know","Somewhat difficult","No","No","Maybe","Yes","Yes","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Neutral","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","36-45","F","United Kingdom","United Kingdom","Always"
"26-100","Yes","No","No","No","I don't know","Somewhat easy","Maybe","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","Yes","Yes","Yes","Maybe","No","True","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Always"
"26-100","Not eligible for coverage / N/A","No Entry","I don't know","I don't know","I don't know","Very easy","No","No","No","Maybe","Yes","No","No","No","Yes, I think it would","Maybe","Not open at all","No","No Entry","I don't know","Yes","Yes","No","False","Not applicable to me","Sometimes","25-35","F","United Kingdom","United Kingdom","Always"
"500-1000","Yes","No","No","Yes","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","No, I don't think it would","Maybe","Somewhat not open","No","No Entry","Yes","No","No","No","False","Rarely","Rarely","36-45","M","United States of America","United States of America","Always"
"500-1000","Yes","Yes","I don't know","Yes","I don't know","Somewhat easy","Maybe","No","Maybe","Yes","Yes","No","Yes, always","No","Yes, it has","No, I don't think they would","Very open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","I am not sure","I don't know","I don't know","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","Sometimes","Yes","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","Yes","Yes","No","Yes","True","Not applicable to me","Not applicable to me","25-35","M","Hungary","Hungary","Sometimes"
"6-25","I don't know","No","No","No","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Not Applicable","No","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","France","France","Sometimes"
"100-500","Yes","I am not sure","No","No","I don't know","Neither easy nor difficult","Yes","Maybe","No","Maybe","No","Yes","I don't know","No","Yes, it has","Maybe","Somewhat open","Maybe/Not sure","Yes","Yes","Yes","Maybe","Yes","True","Rarely","Often","36-45","F","United States of America","United States of America","Sometimes"
"26-100","I don't know","I am not sure","No","No","I don't know","Somewhat difficult","Maybe","No","No","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Not open at all","No","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Never"
"6-25","I don't know","No","No","I don't know","I don't know","I don't know","No","No","Yes","Yes","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","No","Yes","Yes","Yes","Somewhat easy","Maybe","No","No","Maybe","Yes","No","Not Applicable","No","Maybe","No, I don't think they would","Somewhat not open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","False","Rarely","Sometimes","25-35","M","United States of America","United States of America","Never"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Maybe","Yes","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Maybe","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Never"
"100-500","No","No","No","No","I don't know","I don't know","Yes","No","No","No","I don't know","No","Yes, always","Maybe","Yes, I think it would","Yes, I think they would","Very open","Maybe/Not sure","No","No","Yes","No","Yes","True","Never","Rarely","25-35","M","Israel","Israel","Never"
"100-500","I don't know","I am not sure","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Yes","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Japan","Japan","Never"
"More than 1000","Yes","No","I don't know","I don't know","I don't know","I don't know","Maybe","Maybe","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"26-100","Yes","I am not sure","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","No","Yes","Yes","Very easy","No","No","Maybe","Maybe","I don't know","No","Yes, always","No","Maybe","No, I don't think they would","Somewhat open","Yes, I observed","No","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"100-500","I don't know","No","No","I don't know","Yes","Somewhat easy","No","No","Yes","Maybe","No","No","Sometimes","No","Maybe","Maybe","Somewhat open","Yes, I observed","Maybe","No","No","Yes","No","False","Never","Rarely","25-35","M","United States of America","United States of America","Sometimes"
"500-1000","Yes","I am not sure","No","No","I don't know","Very easy","No","No","Yes","Maybe","No","No","I don't know","No","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","No","Yes","No","No","True","Sometimes","Often","36-45","M","United States of America","United States of America","Always"
"6-25","Yes","No","No","I don't know","I don't know","I don't know","Maybe","No","No","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat not open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"26-100","Yes","No","No","No","No","Somewhat difficult","Yes","No","Maybe","Yes","No","No","Not Applicable","No","Maybe","Maybe","Very open","No","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Sometimes","45<","M","United States of America","United States of America","Never"
"26-100","No","Yes","No","No","I don't know","Somewhat easy","Maybe","No","No","Maybe","I don't know","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","Yes","Maybe","Maybe","Yes","True","Sometimes","Sometimes","45<","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Yes","No","Yes, always","No","Yes, I think it would","No, they do not","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","No","Yes","Yes","Neither easy nor difficult","Maybe","Maybe","Yes","Yes","I don't know","No","I don't know","Yes","Maybe","No, I don't think they would","Neutral","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Never","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"26-100","No","No Entry","No","No","I don't know","Very easy","No","No","Yes","Yes","No","No","I don't know","Yes","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United Kingdom","United Kingdom","Sometimes"
"More than 1000","Yes","Yes","No","Yes","I don't know","I don't know","Yes","Maybe","No","No","I don't know","Yes","I don't know","No","Yes, it has","Maybe","Somewhat open","Maybe/Not sure","No","I don't know","Maybe","Maybe","No","True","Rarely","Often","25-35","F","United States of America","United States of America","Never"
"More than 1000","Yes","I am not sure","No","I don't know","Yes","Very easy","Maybe","No","Maybe","Yes","No","No","Yes, always","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","Ireland","Ireland","Sometimes"
"100-500","Yes","Yes","Yes","Yes","Yes","Somewhat difficult","Yes","No","Yes","Yes","No","No","Not Applicable","No","No, I don't think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","Yes","No","No","No","False","Never","Sometimes","25-35","F","United Kingdom","United Kingdom","Sometimes"
"500-1000","Yes","Yes","Yes","Yes","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","Yes","I don't know","No","No, I don't think it would","No, I don't think they would","Very open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Never","Often","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","No","No Entry","No","No","I don't know","Neither easy nor difficult","Yes","No","No","No","I don't know","Yes","I don't know","No","Yes, it has","Yes, I think they would","Somewhat open","Yes, I observed","Maybe","I don't know","Yes","Yes","Yes","True","Often","Often","25-35","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","No","No","No","I don't know","Very difficult","Maybe","No","Maybe","Maybe","No","No","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Never","Sometimes","45<","M","United States of America","United States of America","Sometimes"
"6-25","No","No Entry","Yes","No","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Sometimes","Maybe","Maybe","Maybe","Somewhat not open","Yes, I observed","No","I don't know","Maybe","Maybe","No","False","Never","Sometimes","36-45","M","United Kingdom","United Kingdom","Always"
"100-500","I don't know","I am not sure","No","No","I don't know","Very difficult","Yes","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not open at all","No Entry","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","No","I don't know","Very difficult","Yes","Yes","No","No","No","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
