B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
100-500,1.0,I don't know,No Entry,I don't know,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No Entry,I don't know,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,30,F,Germany,No Entry,Germany,No Entry,Other,Never
500-1000,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,I don't know,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,No,Maybe,Maybe,Not open at all,No,No Entry,Yes,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Addictive Disorder",No,N/A,0,Not applicable to me,Not applicable to me,28,M,United States of America,North Carolina,United States of America,North Carolina,Front-end Developer,Sometimes
6-25,1.0,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,I don't know,Yes,No,N/A,Yes,Stress Response Syndromes,0,Sometimes,Sometimes,39,M,Germany,No Entry,Germany,No Entry,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
1-5,1.0,No,Yes,No,No,No,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Very open,"Yes, I observed",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,21,O,United States of America,New Jersey,United States of America,New Jersey,DevOps/SysAdmin|Back-end Developer|Front-end Developer|Designer,Always
6-25,1.0,Yes,Yes,Yes,Yes,No,Very easy,Maybe,No,Maybe,Yes,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,M,Germany,No Entry,Germany,No Entry,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Sometimes
More than 1000,1.0,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,Maybe,Maybe,Somewhat open,No,No Entry,No,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",No,N/A,0,Not applicable to me,Not applicable to me,30,M,United States of America,Washington,United States of America,Washington,Front-end Developer|Back-end Developer|Dev Evangelist/Advocate,Sometimes
26-100,1.0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,25,F,United States of America,Pennsylvania,United States of America,Pennsylvania,Other,Sometimes
6-25,1.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,26,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Always
26-100,1.0,Yes,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,Yes,1,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,30,M,United States of America,Pennsylvania,United States of America,Pennsylvania,Executive Leadership|Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
500-1000,1.0,No,No Entry,I don't know,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,30,M,Italy,No Entry,Italy,No Entry,Back-end Developer,Never
100-500,1.0,I don't know,I am not sure,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,M,Bulgaria,No Entry,Bulgaria,No Entry,Front-end Developer|Back-end Developer|Supervisor/Team Lead|Executive Leadership,Always
100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Sometimes,32,M,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer|Front-end Developer,Never
26-100,0.0,No,No Entry,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,Maybe,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,45,F,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Always
26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Sometimes,Sometimes,27,M,United States of America,Pennsylvania,United States of America,Pennsylvania,Front-end Developer|Back-end Developer,Always
26-100,1.0,Not eligible for coverage / N/A,No Entry,I don't know,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would",Maybe,Not open at all,No,No Entry,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",No,N/A,0,Not applicable to me,Sometimes,28,F,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Always
500-1000,1.0,Yes,No,No,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat not open,No,No Entry,Yes,No,No,N/A,No,N/A,0,Rarely,Rarely,38,M,United States of America,Michigan,United States of America,Michigan,Back-end Developer|DevOps/SysAdmin,Always
500-1000,0.0,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,38,M,United States of America,Minnesota,United States of America,Minnesota,Front-end Developer|Designer,Sometimes
More than 1000,1.0,I don't know,I am not sure,I don't know,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,Yes,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Not applicable to me,Not applicable to me,34,M,Hungary,No Entry,Hungary,No Entry,Other,Sometimes
6-25,1.0,I don't know,No,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,23,M,France,No Entry,France,No Entry,Back-end Developer,Sometimes
100-500,0.0,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,Maybe,No,Yes,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,No,No,"Yes, it has",Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Rarely,Often,40,F,United States of America,Texas,United States of America,Texas,Other,Sometimes
26-100,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Not open at all,No,No Entry,Yes,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,28,M,United States of America,Texas,United States of America,Texas,Front-end Developer,Never
6-25,1.0,I don't know,No,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,33,M,United States of America,Tennessee,United States of America,Tennessee,Front-end Developer|Back-end Developer,Sometimes
More than 1000,0.0,Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Maybe,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",0,Rarely,Sometimes,32,M,United States of America,Minnesota,United States of America,Minnesota,Other,Never
More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,Attention Deficit Hyperactivity Disorder,1,Sometimes,Often,27,M,United States of America,Colorado,United States of America,Colorado,Other|DevOps/SysAdmin|Back-end Developer,Never
100-500,1.0,No,No,No,No,I don't know,I don't know,Yes,No,No,No,I don't know,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always","Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,No,Yes,No,N/A,Yes,Stress Response Syndromes,1,Never,Rarely,33,M,Israel,No Entry,Israel,No Entry,Front-end Developer|Back-end Developer,Never
100-500,0.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,34,M,Japan,No Entry,Japan,No Entry,Supervisor/Team Lead|DevOps/SysAdmin|Front-end Developer|Back-end Developer,Never
More than 1000,0.0,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No Entry,I don't know,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United States of America,Illinois,United States of America,Illinois,Supervisor/Team Lead|Back-end Developer,Never
26-100,1.0,Yes,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,No,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,39,M,United States of America,Maryland,United States of America,Maryland,Other|Back-end Developer|Supervisor/Team Lead,Sometimes
