B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
More than 1000,False,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,No,No,True,Some did,"No, I only became aware later",None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,I don't know,Yes,Maybe,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Never
26-100,True,No,No Entry,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,Ireland,Ireland,Sometimes
6-25,False,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,Yes,I don't know,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"No, I don't think it would",Maybe,Not open at all,Maybe/Not sure,No,No,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Lower Mid Career,M,United States of America,United States of America,Never
6-25,True,I don't know,No,No,Yes,Yes,I don't know,No,No,No,Yes,Yes,Yes,True,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,"Yes, it has","No, I don't think they would",Somewhat not open,No,No Entry,Yes,Yes,Yes,No,False,Not applicable to me,Often,Upper Mid Career,F,United States of America,United States of America,Always
500-1000,False,Not eligible for coverage / N/A,No Entry,I don't know,I don't know,I don't know,Very difficult,Yes,Maybe,No,No,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,No Entry,No,Maybe,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,South Africa,South Africa,Never
100-500,False,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always","Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,I don't know,Yes,Yes,Yes,False,Never,Often,Lower Mid Career,F,Germany,Germany,Never
More than 1000,False,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
1-5,True,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,True,"Yes, they all did",I was aware of some,None did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Maybe,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,No,No Entry,No,No,I don't know,Somewhat easy,No,No,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,Canada,Canada,Never
26-100,True,Not eligible for coverage / N/A,I am not sure,Yes,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,M,Australia,Australia,Sometimes
26-100,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Early Career,M,United States of America,United States of America,Never
6-25,True,No,No,No,No,No,I don't know,Maybe,No,No,No,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,Maybe,Maybe,Neutral,Maybe/Not sure,Maybe,No,No,No,No,False,Sometimes,Sometimes,Early Career,M,India,India,Sometimes
6-25,True,No,No Entry,Yes,No,Yes,Very easy,No,No,Maybe,Maybe,I don't know,No,True,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,France,France,Always
26-100,True,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat not open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,France,France,Sometimes
26-100,True,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United Kingdom,United Kingdom,Sometimes
100-500,True,I don't know,No Entry,I don't know,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,True,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,F,Germany,Germany,Never
500-1000,True,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,I don't know,No,True,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,No,Maybe,Maybe,Not open at all,No,No Entry,Yes,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,I don't know,Yes,No,Yes,False,Sometimes,Sometimes,Upper Mid Career,M,Germany,Germany,Sometimes
1-5,True,No,Yes,No,No,No,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,True,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Very open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,True,Rarely,Often,Early Career,O,United States of America,United States of America,Always
6-25,True,Yes,Yes,Yes,Yes,No,Very easy,Maybe,No,Maybe,Yes,No,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Germany,Germany,Sometimes
More than 1000,True,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,Maybe,Maybe,Somewhat open,No,No Entry,No,No,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
26-100,True,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,F,United States of America,United States of America,Sometimes
6-25,True,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United Kingdom,United Kingdom,Always
26-100,True,Yes,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,Yes,True,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,Maybe,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Never
500-1000,True,No,No Entry,I don't know,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Italy,Italy,Never
100-500,True,I don't know,I am not sure,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Bulgaria,Bulgaria,Always
100-500,True,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Never
26-100,False,No,No Entry,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,True,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,Maybe,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Upper Mid Career,F,United Kingdom,United Kingdom,Always
26-100,True,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Maybe,No,True,Sometimes,Sometimes,Lower Mid Career,M,United States of America,United States of America,Always
26-100,True,Not eligible for coverage / N/A,No Entry,I don't know,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would",Maybe,Not open at all,No,No Entry,I don't know,Yes,Yes,No,False,Not applicable to me,Sometimes,Lower Mid Career,F,United Kingdom,United Kingdom,Always
500-1000,True,Yes,No,No,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat not open,No,No Entry,Yes,No,No,No,False,Rarely,Rarely,Upper Mid Career,M,United States of America,United States of America,Always
